word;ua_word;hour;date;week_date;month_date;level
SIGN;знак;1;1;1;1;1
SINCE;з;1;1;1;1;1
ACCIDENT;нещасний випадок;1;1;1;1;1
LEAST;найменше;1;1;1;1;1
SPOON;ложка;1;1;1;1;1
FORK;виделка;1;1;1;1;1
MUG;чашка;1;1;1;1;1
COMPARISON;пор≥вн€нн€;1;1;1;1;1
RECOGNIZE;розп≥знати;1;1;1;1;1
EXAGGERATE;переб≥льшувати;1;1;1;1;1
HABIT;звичка;1;1;1;1;1
EXPIRE;зак≥нчуЇтьс€;1;1;1;1;1
SWEAR;прис€гати;1;1;1;1;1
FORBID;заборон€ти;1;1;1;1;1
MISLEAD;вводити в оману;1;1;1;1;1
HURT;завдати болю;1;1;1;1;1
PROVE;довести;1;1;1;1;1
SHUT;закрити;1;1;1;1;1
SPLIT;розкол;1;1;1;1;1
BEAR;стерп≥ти;1;1;1;1;1
BITE;кусати;1;1;1;1;1
BEAT;бити;1;1;1;1;1
FREEZE;замерзнути;1;1;1;1;1
HIDE;приховати;1;1;1;1;1
SPELL;писати по л≥терах;1;1;1;1;1
SCARE;нал€кати;1;1;1;1;1
SUFFERING;стражданн€;1;1;1;1;1
TEMPLATE;шаблон;1;1;1;1;1
THOUGH;хоча;1;1;1;1;1
UNCONVENTIONAL;нетрадиц≥йний;1;1;1;1;1
MAKE SURE;переконатис€;1;1;1;1;1
